,Comments
0,"Overall, effective course."
1,Again Chuck and Bill are great instructors they really helped us to be successful for evaluations.
2,Best FAA Course so far. Great Job!
3,"great course overall, very informative!"
4,Carlos and Teresa were excellent in answering any question and assisting during lab
5,only possible issue is to go over the actual equipment in more detail to identify different aspects of the hardware.
6,The classroom was a good environment free from distractions to allow for the instructors to present the material in the best way possible.
7,Instructor was well-prepared and knowledgeable cooperative
8,"The training I have received is good, but what really is needed is the ability to create RNAV SID."
9,"The course content was very relevant, the instructor should be given more technology and other essential materials to help convey the message and encourage participation."
10,instructors were great (all of them) really showed that they cared about their students and showed that they want us to succeed
11,All good.
12,Jose Salazar and Richard Sacket are great instructors.
13,Both instructors had deep knowledge and previous experience on the subject matter presented. It was presented in an easy to understand way. They were also very courteous and were willing to answer all questions that came up during the training. Very well taught and a good course!
14,Very good instructors. I enjoyed in both courses
15,"Greg and Mike are excellent instructors. Greg has a ton of person experience that makes it easy to connect the dots with the subject, while Mike injects humor and energy that makes it very easy to stay involved and easy for participation."
16,"The course was very informative. I would like other courses to be set up like this. Even though the battery order is subject to be change, all other material was up to date. I feel more clarified by going over the orders. I really enjoy the class."
17,Time discussing an Opportunity to Demonstrate Performance would be helpful.
18,"Instructional staff is very knowledgeable, engaged and proficient."
19,Course material encompassed many topics not applicable to the Performance Assessments or AAC ATCT procedures. The superfluous but important material should be stressed as material that is important and may or may not be applicable to certain facilities.
20,The overall material and organization was well developed and I believe contributed to the successful learning of most students. Providing more visual aid's and hands on would help students better understand some of the material.
21,The course provided a general understanding of aviation in a short amount of time.
22,"Rich Green and Rich Wiggins are great teachers and especially as a team, I am so grateful I had them to learn from."
23,"I am so grateful to have both Rich's as my instructors. They are so knowledgeable, and so dedicated to our success. I would not be able to understand many of the concepts if it wasn't for their teaching style. They come in here everyday and act as if our success is their success an"
24,"The instructors were extremely knowledgeable and effective overall. They occasionally struggled with utilizing the presentation materials (computer, video interfaces), which detracted from their overall effectiveness."
25,"It's a bit too detailed for an ACO ASI. A one day would be more suited for ASIs and would be more cost efficient and effective. Still, the class was well done and it's overall effect was positive. Need? No. An enhancement? Yes."
26,"As with many of the technical training courses I have received through the FAA, I felt that too much time was spent on foundational material, attempting to provide a basic knowledge level of the area of study. I, as well as most of the fellow Inspectors I am attending class with, a"
27,"great instructors, Mr. Stuppiello in particular."
28,Excellent. Good balance of presented information and group discussions.
29,"Most of the course was good, the main problem was with the complexity of the new scenarios."
30,"Daryl Don and Al did a great job. They are great instructors, very knowledgeable, and present the topics well."
31,"1. Recommend that the PTS subject area would be much more complete if it had its own lesson, after all it is a central document for evaluations.2. There does not seem to be any discussion time allotted in the schedule, half of this course is base on strong interaction with the inst"
32,The Simulator provided great training. An additional safety benefit and experience in an actual Technically Advanced Aircraft (TAA) for some enhanced training and practice of subjects covered. At least possibly some extra time designated for an Instrument Proficiency check in the s
33,Outstanding presentations and instruction
34,"All of my lead instructors, Kent Story (basics lead), Mark Sommers (NonRADAR/RADAR lead), and Mike Moravec (NonRADAR/RADAR A-lead) were excellent in their instruction and encouragement of students. They all offered sound advice, knew the subject inside and out, and were open to any"
35,"Overall content of course was effective, however, I would have prefer the course to be more tailored to my domain. I did not appreciate having to learn about tower when I am assigned enroute."
36,I felt the material should have been more geared toward En Route and our instructors should have I more En Route experience. We did seem to have a high turn over of instructors in our class.
37,Instructors were good
38,John Roux was helpful and effective as the lead...Jeff Phillips and Rich Green worked very well with all in the class.
39,outstanding
40,The class was excellent. I think having extra instructors in the class room is a helpful benefit to help students understand through out the exercise processes.
41,see above
42,Excellent.
43,Good Job!
44,"The material was clear, the practice problems were not overwhelming."
45,"Overall, I was very pleased with the pace of this portion of the course."
46,Instructors did a very good job. Very effective.
47,"The class is misnamed. I thought, as many others did, that the class didn't really apply to people wanting to be principle inspectors. It is a helpful class in that instructors shared experiences of being a Principle Inspector, but the course should be more focused on all the dutie"
48,The class got me thinking about how we train our new and incoming team members. We are coming up with a plan to document the training process and what to cover and the time frame involved.
49,Quite effective at having the class participate.
50,"excellent, entertaining"
51,"Hearing tended to be difficult at times when the double room was open. Often, the sound of a squeaking chair or persons passing in the hall made hearing the instructor from the other side of the room difficult/impossible. Consistent use of microphones may correct this?Instructors d"
52,Excellent
53,Our lead instructors were great and would fight for us if we had problems. The lab instructors were very conflicting and would have problems with the way our leads would teach us but it should not be up to them. Also the instructor demo is suppose to be helpful but it could actuall
54,I believe it is highly inappropriate to have students remoting for other students evals. Other students should not be witness to our performance during an evaluation.
55,"Well prepared, well thought out, well instructed."
56,"much more can be taken out, teach where to find the info in the TI"
57,Lead and assistant Lead were awesome. Rest of instructors also make a big impact in training and I think they should be mentioned and applauded for all the patience and effort they put into teaching us air traffic in such a short time. Instructors that made this training amazing we
58,The current instructor teams you have are fantastic. I'm not sure if it was planned but the last 2 courses I attended the instructors were 1 pro and 1 former FAA ATM/DM. Excellent combination and easily related the material and course objectives to what we experience on a daily bas
59,"Instructors were highly knowledgeable, helpful, and patient when running scenarios"
60,Best Instructors I have ever had! Kept my attention...Answered all questions without making me feel silly for asking...AND presented all material in ways that I understood! Thank Yous!
61,I don't have enough good things to say about our lead Roy Harris and our a-lead Joe Stapleton. both have been fantastic.
62,"The academic portion of the class seemed adequately paced, the labs seemed very fast paced and required greater knowledge than what I was equipped with in order to perform at a basic level."
63,"I feel the classroom training could be better done by a well done eLMS course. Then we could travel there to just do the flying part, if desired. Most of the instructors were foreign and English was not their first language so several were very hard to understand"
64,I feel that the course can be shortened by a week or two. With that the students may be able to acquire more time in the TSS lab which I feel that we didn't get enough of at the academy.
65,Excellent presentation of the material with a loosely formatted style so that the specialists felt comfortable asking questions. Valuable training opportunity.
66,There is a lot of information presented in a small amount of time here in the Academics portion of the 50046 course. I feel like wake turbulence needs to be taught earlier and more in depth throughout the course.
67,The instructor's knowledge and experience was an asset to the course.
68,"Rob, Matt, and Jeff were excellent instructors as well as Perry."
69,"Philip Mann did a great job teaching the material and engaging the class with questions and examples. Bill Young did a great job teaching the material, though it was drier in nature. Bill also used questions and examples but asked more rhetorical questions than Phil. Both instructo"
70,There should be computers provided by the FAA to be used in the classroom part of the course and not a requirement to bring assigned laptop computers by the student. This policy should be consistent with the policy for the classes at MMAC at OKC. This risks damage to the assigned c
71,I really enjoyed Kent because he was an en route instructor and gave amazing insight. Most of the instructors were from terminal so they could not give too much experience in the en route area outside of what was in the book. I felt like there wasn't a question about en route that
72,very good course which adds to the knowledge needed while performing my job duties.
73,"The instructors are great, they kept the class engaged, carried us through the day. It was a fun learning experience."
74,"The instructors were very knowledgeable on the subject matter. They were very approachable, they never made the students feel intimidated for asking questions."
